Gender,BIPOC_or_not,FirstGen_or_not,PellGrant,Rural_or_not,EntryYear,GraduatedIn4_or_not
M,1,1,1,0,2016,1
M,1,1,1,0,2016,1
M,1,1,1,0,2016,1
M,1,1,1,0,2016,1
M,1,1,1,0,2016,1
M,1,1,1,0,2016,1
M,1,1,1,0,2016,1
M,1,1,1,0,2016,1
M,1,1,1,0,2016,1
M,1,1,1,0,2016,1
M,1,1,1,0,2016,1
M,1,1,1,0,2016,1
M,1,1,1,0,2016,1
M,1,1,1,0,2016,1
M,1,1,1,0,2016,1
M,1,1,1,0,2016,1
M,1,1,1,0,2016,1
M,1,1,1,0,2016,1
M,1,1,1,0,2016,1
M,1,1,1,0,2016,1
M,1,1,1,0,2016,1
M,1,1,1,0,2016,1
M,1,1,1,0,2016,1
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,1,1,0,2016,0
M,1,0,0,1,2014,1
M,1,0,0,1,2014,0
M,1,0,0,1,2014,0
M,1,0,0,1,2014,0
M,1,0,0,1,2014,0
M,1,0,0,1,2015,1
M,1,0,0,1,2015,1
M,1,0,0,1,2015,0
M,1,0,0,1,2015,0
M,1,0,0,1,2015,0
M,1,0,0,1,2015,0
M,1,0,0,1,2016,1
M,1,0,0,1,2016,0
M,1,0,0,1,2016,0
M,1,0,0,1,2016,0
M,1,0,0,1,2016,0
M,1,0,0,1,2016,0
M,1,0,0,1,2016,0
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,1
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2014,0
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,1
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2015,0
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,1
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,0,0,2016,0
M,1,0,1,1,2014,1
M,1,0,1,1,2014,0
M,1,0,1,1,2014,0
M,1,0,1,1,2014,0
M,1,0,1,1,2014,0
M,1,0,1,1,2015,1
M,1,0,1,1,2015,1
M,1,0,1,1,2015,1
M,1,0,1,1,2015,1
M,1,0,1,1,2016,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,1
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2014,0
M,1,0,1,0,2015,1
M,1,0,1,0,2015,1
M,1,0,1,0,2015,1
M,1,0,1,0,2015,1
M,1,0,1,0,2015,1
M,1,0,1,0,2015,1
M,1,0,1,0,2015,1
M,1,0,1,0,2015,1
M,1,0,1,0,2015,1
M,1,0,1,0,2015,1
M,1,0,1,0,2015,1
M,1,0,1,0,2015,1
M,1,0,1,0,2015,1
M,1,0,1,0,2015,1
M,1,0,1,0,2015,1
M,1,0,1,0,2015,1
M,1,0,1,0,2015,1
M,1,0,1,0,2015,1
M,1,0,1,0,2015,1
M,1,0,1,0,2015,1
M,1,0,1,0,2015,1
M,1,0,1,0,2015,1
M,1,0,1,0,2015,1
M,1,0,1,0,2015,1
M,1,0,1,0,2015,1
M,1,0,1,0,2015,1
M,1,0,1,0,2015,1
M,1,0,1,0,2015,1
M,1,0,1,0,2015,1
M,1,0,1,0,2015,1
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2015,0
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
M,1,0,1,0,2016,1
